primaryTitle,startYear,runtimeMinutes
The Pianist,2002.0,150.0
Reign of Fire,2002.0,101.0
Star Trek: Nemesis,2002.0,116.0
The Sweetest Thing,2002.0,84.0
Pinocchio,2002.0,108.0
Possession,2002.0,102.0
Sweet Home Alabama,2002.0,108.0
Road to Perdition,2002.0,117.0
About Schmidt,2002.0,125.0
High Crimes,2002.0,115.0
Panic Room,2002.0,112.0
The Quiet American,2002.0,101.0
Run Ronnie Run,2002.0,86.0
S1m0ne,2002.0,117.0
The Bourne Identity,2002.0,119.0
Dragonfly,2002.0,104.0
My Big Fat Greek Wedding,2002.0,95.0
Paid in Full,2002.0,97.0
Repli-Kate,2002.0,96.0
Serving Sara,2002.0,102.0
Empire,2002.0,90.0
Men with Brooms,2002.0,102.0
Catch Me If You Can,2002.0,141.0
Changing Lanes,2002.0,98.0
Murder by Numbers,2002.0,115.0
Big Fat Liar,2002.0,88.0
The Mothman Prophecies,2002.0,119.0
One Hour Photo,2002.0,96.0
Pumpkin,2002.0,113.0
Ripley's Game,2002.0,110.0
The Rookie,2002.0,127.0
Stealing Harvard,2002.0,85.0
Death to Smoochy,2002.0,109.0
Abandon,2002.0,99.0
K-19: The Widowmaker,2002.0,138.0
Scooby-Doo,2002.0,89.0
Adaptation.,2002.0,115.0
Ice Age,2002.0,81.0
The Time Machine,2002.0,96.0
City by the Sea,2002.0,108.0
Confessions of a Dangerous Mind,2002.0,113.0
The Truth About Charlie,2002.0,104.0
Tadpole,2002.0,78.0
Welcome to Collinwood,2002.0,86.0
Eight Crazy Nights,2002.0,76.0
Eight Legged Freaks,2002.0,99.0
Vampires: Los Muertos,2002.0,94.0
Narc,2002.0,105.0
Punch-Drunk Love,2002.0,95.0
Mujhse Dosti Karoge!,2002.0,149.0
Ararat,2002.0,115.0
Darkness,2002.0,88.0
Orange County,2002.0,82.0
Poolhall Junkies,2002.0,99.0
24 Hour Party People,2002.0,117.0
The Hours,2002.0,110.0
People I Know,2002.0,100.0
Secretary,2002.0,107.0
Crossroads,2002.0,93.0
Lilo & Stitch,2002.0,85.0
Avenging Angelo,2002.0,97.0
The Country Bears,2002.0,88.0
About a Boy,2002.0,101.0
Below,2002.0,105.0
The Scorpion King,2002.0,92.0
We Were Soldiers,2002.0,138.0
.com for Murder,2002.0,96.0
All About the Benjamins,2002.0,95.0
Enough,2002.0,115.0
The Importance of Being Earnest,2002.0,97.0
Insomnia,2002.0,118.0
Spider,2002.0,98.0
Hollywood Ending,2002.0,112.0
The Good Girl,2002.0,93.0
Dark Blue,2002.0,118.0
Undercover Brother,2002.0,86.0
Divine Secrets of the Ya-Ya Sisterhood,2002.0,116.0
Sorority Boys,2002.0,93.0
Return to Never Land,2002.0,72.0
Trapped,2002.0,106.0
The Banger Sisters,2002.0,98.0
Better Luck Tomorrow,2002.0,101.0
Bad Company,2002.0,116.0
Bloody Sunday,2002.0,111.0
Mr. Deeds,2002.0,96.0
Dog Soldiers,2002.0,105.0
Amen.,2002.0,132.0
Femme Fatale,2002.0,114.0
The Guru,2002.0,94.0
Igby Goes Down,2002.0,98.0
Liberty Stands Still,2002.0,96.0
My Little Eye,2002.0,95.0
The Nest,2002.0,107.0
Shottas,2002.0,95.0
Undisputed,2002.0,96.0
A Walk to Remember,2002.0,101.0
Snow Dogs,2002.0,99.0
Bubba Ho-Tep,2002.0,92.0
The Good Thief,2002.0,109.0
I Am Dina,2002.0,125.0
The Wild Thornberrys,2002.0,85.0
Steal,2002.0,83.0
Life or Something Like It,2002.0,103.0
Love Liza,2002.0,90.0
Spun,2002.0,101.0
Swimfan,2002.0,85.0
Thunderpants,2002.0,87.0
Tuck Everlasting,2002.0,90.0
National Lampoon's Van Wilder,2002.0,92.0
White Oleander,2002.0,109.0
Extreme Ops,2002.0,93.0
The Emperor's Club,2002.0,109.0
They,2002.0,89.0
8 Women,2002.0,111.0
The Spanish Apartment,2002.0,122.0
Dead Weight,2002.0,107.0
Demonlover,2002.0,129.0
Showtime,2002.0,95.0
Ali G Indahouse,2002.0,85.0
Ted Bundy,2002.0,99.0
Cypher,2002.0,95.0
Boat Trip,2002.0,94.0
Cube²: Hypercube,2002.0,94.0
Dahmer,2002.0,101.0
Signs,2002.0,106.0
Stark Raving Mad,2002.0,101.0
All or Nothing,2002.0,128.0
Deathwatch,2002.0,94.0
Bend It Like Beckham,2002.0,112.0
Respiro,2002.0,95.0
Talk to Her,2002.0,112.0
Spy Kids 2: Island of Lost Dreams,2002.0,100.0
Secret Things,2002.0,115.0
Bang Bang You're Dead,2002.0,93.0
Ghost Ship,2002.0,91.0
28 Days Later,2002.0,113.0
The Powerpuff Girls Movie,2002.0,73.0
Red Dragon,2002.0,124.0
Analyze That,2002.0,96.0
The Tuxedo,2002.0,98.0
Max,2002.0,106.0
Full Frontal,2002.0,101.0
Irreversible,2002.0,97.0
