primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,Production Budget,Worldwide Gross
The Salton Sea,2002,103,7,31895,D.J. Caruso,18000000,676698
Equilibrium,2002,107,7.3,344859,Kurt Wimmer,20000000,5345869
Queen of the Damned,2002,101,5.2,59509,Michael Rymer,35000000,30307804
The Dangerous Lives of Altar Boys,2002,104,6.9,14118,Peter Care,12000000,1779284
Kung Pow: Enter the Fist,2002,81,6.2,48217,Steve Oedekerk,10000000,17033556
The Four Feathers,2002,132,6.5,35347,Shekhar Kapur,35000000,29882645
Slackers,2002,86,5.3,15168,Dewey Nicks,11000000,5942218
The New Guy,2002,88,5.8,37458,Ed Decter,13000000,28972187
Stuart Little 2,2002,77,5.5,58038,Rob Minkoff,120000000,166000000
40 Days and 40 Nights,2002,96,5.6,75515,Michael Lehmann,17000000,95092667
Windtalkers,2002,134,6.1,73091,John Woo,115000000,77628265
The Count of Monte Cristo,2002,131,7.7,147208,Kevin Reynolds,40000000,75389090
Die Another Day,2002,133,6.1,227961,Lee Tamahori,142000000,431942139
Big Trouble,2002,85,6.4,21542,Barry Sonnenfeld,45000000,8488871
Rollerball,2002,98,3.1,29364,John McTiernan,70000000,25852508
Juwanna Mann,2002,91,4.7,7042,Jesse Vaughan,15600000,13771817
Unfaithful,2002,124,6.7,97212,Adrian Lyne,50000000,119114494
Hart's War,2002,125,6.3,55004,Gregory Hoblit,70000000,33076815
Maid in Manhattan,2002,105,5.4,95444,Wayne Wang,55000000,163838217
Rabbit-Proof Fence,2002,94,7.4,30093,Phillip Noyce,7000000,16866928
The Pianist,2002,150,8.5,899821,Roman Polanski,35000000,111864109
Reign of Fire,2002,101,6.2,144512,Rob Bowman,60000000,82150183
Star Trek: Nemesis,2002,116,6.4,83379,Stuart Baird,60000000,67312826
The Sweetest Thing,2002,84,5.2,61998,Roger Kumble,43000000,63078756
Pinocchio,2002,108,4.3,8610,Roberto Benigni,45000000,31681811
Possession,2002,102,6.3,13673,Neil LaBute,25000000,14805812
Sweet Home Alabama,2002,108,6.2,122484,Andy Tennant,38000000,182365114
Road to Perdition,2002,117,7.7,282409,Sam Mendes,80000000,183354514
About Schmidt,2002,125,7.2,132896,Alexander Payne,30000000,107054484
High Crimes,2002,115,6.4,47696,Carl Franklin,42000000,63781100
Panic Room,2002,112,6.8,294529,David Fincher,48000000,196308367
The Quiet American,2002,101,7,29572,Phillip Noyce,20000000,26348203
The Bourne Identity,2002,119,7.8,571880,Doug Liman,60000000,214357371
Dragonfly,2002,104,6.1,39789,Tom Shadyac,60000000,30317425
My Big Fat Greek Wedding,2002,95,6.6,143519,Joel Zwick,5000000,374890034
Serving Sara,2002,102,5.3,18657,Reginald Hudlin,29000000,20146150
Empire,2002,90,5.9,7866,Franc. Reyes,3500000,18495444
Men with Brooms,2002,102,5.9,4693,Paul Gross,7500000,4239767
Changing Lanes,2002,98,6.5,74115,Roger Michell,45000000,66790248
Murder by Numbers,2002,115,6.1,61913,Barbet Schroeder,50000000,56643267
Big Fat Liar,2002,88,5.5,39185,Shawn Levy,15000000,52461017
The Mothman Prophecies,2002,119,6.4,84234,Mark Pellington,42000000,56438555
One Hour Photo,2002,96,6.8,130875,Mark Romanek,12000000,52223306
The Rookie,2002,127,6.9,36860,John Lee Hancock,22000000,80491516
Stealing Harvard,2002,85,5.1,13668,Bruce McCulloch,25000000,13973532
Death to Smoochy,2002,109,6.3,42336,Danny DeVito,50000000,8374062
Abandon,2002,99,4.8,10123,Stephen Gaghan,25000000,12219367
K-19: The Widowmaker,2002,138,6.7,66823,Kathryn Bigelow,90000000,65716126
Scooby-Doo,2002,89,5.3,124154,Raja Gosnell,84000000,276294164
Ice Age,2002,81,7.5,513214,"Chris Wedge, Carlos Saldanha",65000000,386116343
The Time Machine,2002,96,6,129605,Simon Wells,80000000,98983590
City by the Sea,2002,108,6.1,26323,Michael Caton-Jones,40000000,22505932
Confessions of a Dangerous Mind,2002,113,7,91499,George Clooney,29000000,33013805
Tadpole,2002,78,6.2,6243,Gary Winick,150000,3270128
Welcome to Collinwood,2002,86,6.3,15566,"Anthony Russo, Joe Russo",12000000,4606284
Eight Legged Freaks,2002,99,5.5,59852,Ellory Elkayem,30000000,36722311
Narc,2002,105,7.1,42839,Joe Carnahan,7500000,11843260
Punch-Drunk Love,2002,95,7.3,175183,Paul Thomas Anderson,25000000,24591031
Ararat,2002,115,6.3,14736,Atom Egoyan,15500000,1757694
Orange County,2002,82,6.2,51747,Jake Kasdan,18000000,43308707
The Hours,2002,110,7.5,137787,Stephen Daldry,25000000,97030468
Secretary,2002,107,6.9,97586,Steven Shainberg,4000000,9412015
Crossroads,2002,93,3.6,41906,Tamra Davis,12000000,57000000
Lilo & Stitch,2002,85,7.3,208892,"Dean DeBlois, Chris Sanders",80000000,245799997
The Country Bears,2002,88,4.2,6066,Peter Hastings,20000000,16988996
About a Boy,2002,101,7.1,190862,"Chris Weitz, Paul Weitz",27000000,130759651
The Scorpion King,2002,92,5.5,144643,Chuck Russell,60000000,165890634
