primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,ProductionBudget,WorldwideGross
The Dangerous Lives of Altar Boys,2002,104,6.9,13904,Peter Care,12000000,1779284
Kung Pow: Enter the Fist,2002,81,6.2,47199,Steve Oedekerk,10000000,17033556
The Four Feathers,2002,132,6.5,34745,Shekhar Kapur,35000000,29882645
Slackers,2002,86,5.3,14885,Dewey Nicks,11000000,5942218
The New Guy,2002,88,5.8,36659,Ed Decter,13000000,28972187
Stuart Little 2,2002,77,5.5,55982,Rob Minkoff,120000000,166000000
40 Days and 40 Nights,2002,96,5.6,74431,Michael Lehmann,17000000,95092667
Windtalkers,2002,134,6.1,70831,John Woo,115000000,77628265
The Count of Monte Cristo,2002,131,7.7,141509,Kevin Reynolds,40000000,75389090
Die Another Day,2002,133,6.1,222765,Lee Tamahori,142000000,431942139
Big Trouble,2002,85,6.4,21148,Barry Sonnenfeld,45000000,8488871
Rollerball,2002,98,3.1,28704,John McTiernan,70000000,25852508
Juwanna Mann,2002,91,4.7,6834,Jesse Vaughan,15600000,13771817
Unfaithful,2002,124,6.7,92175,Adrian Lyne,50000000,119114494
Hart's War,2002,125,6.3,54015,Gregory Hoblit,70000000,33076815
Maid in Manhattan,2002,105,5.3,92339,Wayne Wang,55000000,163838217
Rabbit-Proof Fence,2002,94,7.4,29413,Phillip Noyce,7000000,16866928
The Pianist,2002,150,8.5,847909,Roman Polanski,35000000,111854182
Reign of Fire,2002,101,6.2,139771,Rob Bowman,60000000,82150183
Star Trek: Nemesis,2002,116,6.4,81077,Stuart Baird,60000000,67312826
The Sweetest Thing,2002,84,5.1,60245,Roger Kumble,43000000,63078756
Pinocchio,2002,108,4.3,8477,Roberto Benigni,45000000,31681811
Possession,2002,102,6.3,13491,Neil LaBute,25000000,14805812
Sweet Home Alabama,2002,108,6.2,117153,Andy Tennant,38000000,182365114
Road to Perdition,2002,117,7.7,274316,Sam Mendes,80000000,183354514
About Schmidt,2002,125,7.2,130221,Alexander Payne,30000000,107054484
High Crimes,2002,115,6.3,44771,Carl Franklin,42000000,63781100
Panic Room,2002,112,6.8,284986,David Fincher,48000000,196308367
The Quiet American,2002,101,7,28948,Phillip Noyce,20000000,26348203
The Bourne Identity,2002,119,7.9,555188,Doug Liman,60000000,214357371
Dragonfly,2002,104,6.1,39155,Tom Shadyac,60000000,30317425
My Big Fat Greek Wedding,2002,95,6.6,135735,Joel Zwick,5000000,374890034
Serving Sara,2002,102,5.3,18079,Reginald Hudlin,29000000,20146150
Empire,2002,90,5.9,7712,Franc. Reyes,3500000,18495444
Men with Brooms,2002,102,5.9,4615,Paul Gross,7500000,4239767
Changing Lanes,2002,98,6.5,72891,Roger Michell,45000000,66790248
Murder by Numbers,2002,115,6.1,59587,Barbet Schroeder,50000000,56643267
Big Fat Liar,2002,88,5.5,38188,Shawn Levy,15000000,52461017
The Mothman Prophecies,2002,119,6.4,82084,Mark Pellington,42000000,56438555
One Hour Photo,2002,96,6.8,126135,Mark Romanek,12000000,52223306
The Rookie,2002,127,6.9,35739,John Lee Hancock,22000000,80491516
Stealing Harvard,2002,85,5.1,13356,Bruce McCulloch,25000000,13973532
Death to Smoochy,2002,109,6.3,41414,Danny DeVito,50000000,8374062
Abandon,2002,99,4.8,9934,Stephen Gaghan,25000000,12219367
K-19: The Widowmaker,2002,138,6.7,64873,Kathryn Bigelow,90000000,65716126
Scooby-Doo,2002,89,5.2,117799,Raja Gosnell,84000000,276294164
Ice Age,2002,81,7.5,493107,"Chris Wedge, Carlos Saldanha",65000000,386116343
The Time Machine,2002,96,6,126613,Simon Wells,80000000,98983590
City by the Sea,2002,108,6.1,25684,Michael Caton-Jones,40000000,22505932
Confessions of a Dangerous Mind,2002,113,7,89806,George Clooney,29000000,33013805
Tadpole,2002,78,6.2,6139,Gary Winick,150000,3270128
Welcome to Collinwood,2002,86,6.3,15253,"Anthony Russo, Joe Russo",12000000,4606284
Eight Legged Freaks,2002,99,5.5,58473,Ellory Elkayem,30000000,36722311
Narc,2002,105,7.1,41853,Joe Carnahan,7500000,11843260
Punch-Drunk Love,2002,95,7.3,169122,Paul Thomas Anderson,25000000,24591031
Ararat,2002,115,6.3,14614,Atom Egoyan,15500000,1757694
Orange County,2002,82,6.2,50843,Jake Kasdan,18000000,43308707
The Hours,2002,110,7.5,134343,Stephen Daldry,25000000,97030468
Secretary,2002,107,6.9,93966,Steven Shainberg,4000000,9412015
Crossroads,2002,93,3.6,40737,Tamra Davis,12000000,57000000
Lilo & Stitch,2002,85,7.3,197175,"Dean DeBlois, Chris Sanders",80000000,245799997
The Country Bears,2002,88,4.2,5816,Peter Hastings,20000000,16988996
About a Boy,2002,101,7.1,186915,"Chris Weitz, Paul Weitz",27000000,130759651
